L1_size,L2_size,L3_size,L1_device,L2_device,L3_device,L1_device_read_latency_(ms),L2_device_read_latency_(ms),L3_device_read_latency_(ms),L1_device_write_latency_(ms),L2_device_write_latency_(ms),L3_device_write_latency_(ms),L1_device_capacity_(GB),L2_device_capacity_(GB),L3_device_capacity_(GB),L1_device_purchase_cost_($),L2_device_purchase_cost_($),L3_device_purchase_cost_($),L1_algorithm,L2_algorithm,write_policy,total_read_latency_(ms),total_write_latency_(ms),total_purchase_cost_($),avg_latency_(ms),avg_throughput_(KB/s),workload,read_requests,write_requests,total_requests,unique_reads,unique_writes,unique_requests,percent_reads,percent_writes,percent_unique_reads,percent_unique_writes,percent_unique_requests,compound miss ratio
100,100,13523900,D3,S2,H1,1.4300000000000002e-05,0.675,7.64,1.4300000000000002e-05,6.814,4.28,16000000000,4000000000000,10000000000000,77.87,498.26,334.76,lru,arc,wb-s,7.963723103535117,165.62147858084586,1.8564105027584,14.122546801977586,290.0326731030154,w65,942769,38326,981095,129255,7795,137050,96.09,3.91,13.71,20.34,13.97,0.9495023417711842
1492300,2984600,4725700,D3,S3,H1,1.4300000000000002e-05,0.39399999999999996,7.64,1.4300000000000002e-05,7.1,4.28,16000000000,1000000000000,10000000000000,77.87,119.99,334.76,arc,arc,wb-s,0.9296871908273135,3.8384183922585553,31.863428094771198,3.753632881850145,1091.2095372473143,w98,7337,244373,251710,4620,47029,51649,2.91,97.09,62.97,19.24,20.52,0.4248142703905287
1052600,225600,1428600,D3,H2,H1,1.4300000000000002e-05,2.8569999999999998,7.64,1.4300000000000002e-05,12.243,4.28,16000000000,1000000000000,10000000000000,77.87,72.99,334.76,lru,lru,wb-s,1.203131508561916,3.792722302482773,21.2466195767296,2.0525421905978973,1995.5740830871066,w73,116843,57033,173876,14050,3281,17331,67.2,32.8,12.02,5.75,9.97,0.10161264349306401
1380000,2210000,2630000,D2,H3,H1,1.4099999999999999e-05,2.555,7.64,1.4099999999999999e-05,11.171,4.28,16000000000,4000000000000,10000000000000,88.97,109.99,334.76,arc,arc,wb-s,0.0165825795262152,1.0959795916257882,32.04085291008,0.0337149125881476,121489.2664867812,w02,176958,2854,179812,255,20,275,98.41,1.59,0.14,0.7,0.15,0.001462638756034
2756900,501300,4761900,D3,S2,S3,1.4300000000000002e-05,0.675,0.39399999999999996,1.4300000000000002e-05,6.814,7.1,16000000000,4000000000000,1000000000000,77.87,498.26,119.99,arc,arc,wb-s,0.9263173886682302,10.795527776306727,57.554176012287996,4.513645094107146,907.4705508741904,w83,100205,57223,157428,46195,3287,49482,63.65,36.35,46.1,5.74,31.43,0.5758759559925808
31825000,9361000,35570000,D3,S3,S1,1.4300000000000002e-05,0.39399999999999996,0.6629999999999999,1.4300000000000002e-05,7.1,7.935,16000000000,1000000000000,4000000000000,77.87,119.99,451.58,arc,arc,wb-s,0.7177567305998188,116.02702722453027,655.4714047078401,5.43119766668684,754.1614670229187,w48,312211,13306,325517,34856,2785,37641,95.91,4.09,11.16,20.93,11.56,0.6679466817401242
884200,2652400,5599600,D1,H1,S2,1.3800000000000002e-05,7.64,0.675,1.3800000000000002e-05,4.28,6.814,16000000000,10000000000000,4000000000000,105.0,334.76,498.26,lru,lru,wb-s,8.150844747881466,158.3580855593288,26.988005033574403,12.059993915857804,339.63532888802945,w85,394754,10548,405302,55772,1503,57275,97.4,2.6,14.13,14.25,14.13,0.9622207637761472
14516100,9392800,16223900,D2,H3,H2,1.4099999999999999e-05,2.555,2.8569999999999998,1.4099999999999999e-05,11.171,12.243,16000000000,4000000000000,1000000000000,88.97,109.99,72.99,lru,arc,wb-s,2.0911047584067632,32.34797424969664,336.531658921984,5.799954649621768,706.2124184483258,w22,447140,62467,509607,151327,17153,168480,87.74,12.26,33.84,27.46,33.06,0.3545889283310472
216700,288900,1372100,D1,H2,H1,1.3800000000000002e-05,2.8569999999999998,7.64,1.3800000000000002e-05,12.243,4.28,16000000000,1000000000000,10000000000000,105.0,72.99,334.76,arc,arc,wb-s,2.4873143252626315,3.2651752795224667,6.099406768537602,3.1652993069771176,1294.032444568949,w76,15992,108558,124550,4363,12100,16463,12.84,87.16,27.28,11.15,13.22,0.1711842633480529
2040400,1113000,3524300,D1,H1,S2,1.3800000000000002e-05,7.64,0.675,1.3800000000000002e-05,4.28,6.814,16000000000,10000000000000,4000000000000,105.0,334.76,498.26,lru,lru,wb-s,1.598021035230445,4.247278001468637,56.796726138880004,2.1116517429665755,1939.713787390762,w91,175530,42216,217746,33653,6449,40102,80.61,19.39,19.17,15.28,18.42,0.1923938901288657
